iter	Passed	Remaining
0	164	82242
1	168	42008
2	172	28616
3	176	21868
4	179	17801
5	183	15128
6	186	13107
7	189	11662
8	193	10531
9	196	9646
10	200	8926
11	204	8332
12	208	7806
13	211	7356
14	215	6958
15	218	6609
16	221	6297
17	224	6022
18	228	5781
19	231	5555
20	234	5351
21	237	5168
22	241	4999
23	244	4853
24	248	4713
25	251	4588
26	254	4461
27	257	4341
28	259	4216
29	262	4112
30	265	4011
31	268	3922
32	271	3839
33	274	3761
34	277	3688
35	280	3615
36	283	3546
37	286	3478
38	289	3416
39	291	3353
40	294	3296
41	297	3245
42	300	3192
43	303	3142
44	306	3094
45	308	3047
46	311	3004
47	314	2963
48	317	2918
49	320	2880
50	323	2845
51	326	2809
52	329	2776
53	332	2744
54	335	2713
55	338	2683
56	341	2651
57	343	2619
58	346	2592
59	349	2565
60	352	2539
61	355	2513
62	358	2487
63	361	2465
64	365	2442
65	367	2419
66	370	2395
67	373	2372
68	376	2350
69	379	2330
70	382	2309
71	385	2290
72	388	2272
73	391	2253
74	394	2233
75	396	2212
76	399	2194
77	402	2176
78	404	2154
79	406	2136
80	409	2119
81	412	2104
82	415	2089
83	418	2073
84	421	2058
85	424	2043
86	427	2028
87	430	2013
88	433	2001
89	436	1988
90	439	1974
91	442	1961
92	445	1948
93	448	1935
94	451	1923
95	454	1911
96	457	1899
97	460	1887
98	463	1877
99	466	1866
100	469	1855
101	472	1843
102	474	1830
103	477	1819
104	480	1808
105	483	1797
106	486	1786
107	489	1776
108	492	1765
109	495	1755
110	498	1745
111	499	1731
112	502	1721
113	505	1711
114	508	1701
115	511	1692
116	514	1684
117	517	1674
118	519	1664
119	522	1655
120	525	1646
121	528	1637
122	531	1629
123	533	1618
124	536	1610
125	539	1602
126	542	1593
127	545	1585
128	548	1578
129	551	1569
130	554	1562
131	557	1554
132	560	1547
133	564	1540
134	567	1533
135	570	1525
136	572	1517
137	575	1510
138	578	1502
139	581	1495
140	584	1488
141	587	1481
142	590	1475
143	593	1468
144	596	1461
145	599	1454
146	602	1447
147	605	1440
148	608	1432
149	610	1425
150	612	1415
151	614	1407
152	617	1401
153	620	1394
154	623	1388
155	626	1381
156	629	1374
157	632	1368
158	635	1362
159	638	1356
160	641	1349
161	643	1343
162	646	1337
163	649	1331
164	652	1325
165	655	1319
166	658	1313
167	661	1306
168	664	1300
169	667	1294
170	669	1288
171	672	1282
172	675	1277
173	678	1271
174	681	1265
175	684	1259
176	686	1253
177	689	1248
178	692	1242
179	696	1237
180	698	1231
181	701	1225
182	704	1220
183	707	1215
184	710	1210
185	713	1204
186	716	1199
187	719	1194
188	722	1188
189	725	1183
190	728	1178
191	730	1172
192	733	1167
193	736	1162
194	739	1157
195	742	1151
196	745	1147
197	749	1142
198	751	1137
199	754	1132
200	757	1126
201	760	1121
202	763	1116
203	765	1111
204	769	1106
205	772	1101
206	775	1097
207	777	1092
208	780	1087
209	783	1082
210	786	1077
211	789	1072
212	792	1067
213	795	1063
214	798	1058
215	801	1053
216	803	1048
217	806	1043
218	809	1039
219	812	1034
220	815	1029
221	818	1025
222	821	1020
223	824	1015
224	827	1011
225	830	1006
226	833	1001
227	836	998
228	839	993
229	842	989
230	845	984
231	848	980
232	850	974
233	853	970
234	856	965
235	859	960
236	861	956
237	864	951
238	865	945
239	868	941
240	872	937
241	875	932
242	878	928
243	880	923
244	883	919
245	886	915
246	889	910
247	892	906
248	895	902
249	898	898
250	900	893
251	903	889
252	907	885
253	910	881
254	913	877
255	916	873
256	918	868
257	921	864
258	924	860
259	927	856
260	930	852
261	933	848
262	936	844
263	939	839
264	942	835
265	945	831
266	947	827
267	950	823
268	953	819
269	956	815
270	959	811
271	962	807
272	965	802
273	968	798
274	971	795
275	974	790
276	977	787
277	980	783
278	983	779
279	986	775
280	989	771
281	992	767
282	996	764
283	1000	761
284	1005	758
285	1009	755
286	1013	752
287	1017	749
288	1021	745
289	1025	742
290	1030	739
291	1034	736
292	1038	733
293	1042	730
294	1046	727
295	1051	724
296	1056	722
297	1060	719
298	1065	715
299	1069	712
300	1073	709
301	1077	706
302	1082	703
303	1086	700
304	1091	697
305	1095	694
306	1100	691
307	1104	688
308	1108	685
309	1112	682
310	1117	678
311	1121	675
312	1125	672
313	1130	669
314	1134	666
315	1138	662
316	1142	659
317	1146	656
318	1150	653
319	1155	649
320	1159	646
321	1163	642
322	1167	639
323	1171	636
324	1175	633
325	1180	630
326	1184	626
327	1189	623
328	1193	620
329	1197	616
330	1201	613
331	1206	610
332	1210	607
333	1215	603
334	1219	600
335	1223	597
336	1227	593
337	1232	590
338	1236	587
339	1240	583
340	1244	580
341	1249	577
342	1253	573
343	1257	570
344	1262	567
345	1266	563
346	1270	560
347	1274	556
348	1278	553
349	1282	549
350	1286	546
351	1291	542
352	1295	539
353	1299	536
354	1304	532
355	1308	529
356	1312	525
357	1317	522
358	1321	519
359	1325	515
360	1330	512
361	1334	508
362	1339	505
363	1343	501
364	1347	498
365	1351	494
366	1355	491
367	1360	488
368	1364	484
369	1369	481
370	1373	477
371	1378	474
372	1382	470
373	1386	467
374	1391	463
375	1395	460
376	1399	456
377	1403	453
378	1408	449
379	1412	445
380	1416	442
381	1420	438
382	1424	435
383	1428	431
384	1433	428
385	1437	424
386	1441	420
387	1445	417
388	1449	413
389	1452	409
390	1456	405
391	1460	402
392	1464	398
393	1469	395
394	1473	391
395	1477	387
396	1481	384
397	1485	380
398	1489	377
399	1494	373
400	1498	369
401	1502	366
402	1507	362
403	1511	359
404	1515	355
405	1519	351
406	1523	348
407	1528	344
408	1532	341
409	1536	337
410	1540	333
411	1544	329
412	1548	326
413	1552	322
414	1557	318
415	1561	315
416	1565	311
417	1569	307
418	1573	304
419	1577	300
420	1581	296
421	1585	293
422	1589	289
423	1594	285
424	1598	282
425	1602	278
426	1606	274
427	1611	271
428	1615	267
429	1620	263
430	1624	260
431	1628	256
432	1632	252
433	1637	248
434	1641	245
435	1645	241
436	1649	237
437	1654	234
438	1658	230
439	1662	226
440	1666	222
441	1671	219
442	1676	215
443	1680	211
444	1684	208
445	1688	204
446	1693	200
447	1697	197
448	1701	193
449	1705	189
450	1709	185
451	1713	181
452	1717	178
453	1721	174
454	1725	170
455	1730	166
456	1734	163
457	1738	159
458	1743	155
459	1747	151
460	1752	148
461	1756	144
462	1760	140
463	1765	136
464	1769	133
465	1773	129
466	1778	125
467	1782	121
468	1786	118
469	1790	114
470	1795	110
471	1799	106
472	1803	102
473	1807	99
474	1811	95
475	1815	91
476	1820	87
477	1824	83
478	1828	80
479	1832	76
480	1837	72
481	1841	68
482	1845	64
483	1849	61
484	1853	57
485	1857	53
486	1862	49
487	1866	45
488	1870	42
489	1874	38
490	1879	34
491	1883	30
492	1887	26
493	1891	22
494	1896	19
495	1900	15
496	1904	11
497	1908	7
498	1912	3
499	1916	0
